,Date,Text,Incident_cause,Location,Direction_landmark,Status,Near_landmark,Between_landmark
7503,2020-10-27 07:21:00,"due to traffic accident , part of the lanes of tolo highway kowloon bound near tai po railway pier are closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,tolo highway,kowloon,new,tai po railway pier,
7504,2020-10-27 07:25:00,the traffic of the following road sections are busy: -lion rock tunnel road (kowloon bound) -tate's cairn highway (kowloon bound) motorists passing through the above section of road are advised to drive with utmost care and patience ,traffic accident,,,new,,
7505,2020-10-27 07:33:00,"due to traffic accident , part of the lanes of tolo highway kowloon bound near tai po railway pier are still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on tolo highway kowloon bound ends at tolo highway near parc versailles.   traffic is congested now. ",traffic accident,tolo highway,kowloon,updated,tai po railway pier,
7506,2020-10-27 07:46:00,part of the lanes of tolo highway kowloon bound near tai po railway pier which were closed due to traffic accident are re-opened to all traffic. traffic queues take time to disperse. ,traffic accident,tolo highway,kowloon,updated,tai po railway pier,
7507,2020-10-27 08:13:00,the traffic of the following road sections have resumed normal: -lion rock tunnel road (kowloon bound) -tate's cairn highway (kowloon bound) ,traffic accident,,,updated,,
7508,2020-10-27 08:19:00,"due to traffic accident happened earlier , tolo highway near tai po and fanling highway kowloon bound are busy. motorists passing through the above sections of road are advised to drive with utmost care and patience. ",traffic accident happened earlier,tolo highway,kowloon,new,,
7509,2020-10-27 08:18:00,"due to traffic accident, all lanes of ma tau wai road in between tai wan road and man yue street (wuhu street bound) are closed to all traffic. affected bus routes have been diverted.   traffic is busy now. ",traffic accident,,,new,,
7510,2020-10-27 08:31:00,"due to traffic accident , the slow lane of ma tau wai road wuhu street bound near tai wan road is still closed to all traffic. only the fast lane is still available to motorists. traffic is busy now. ",traffic accident,ma tau wai road,wuhu street,updated,tai wan road,
7511,2020-10-27 08:46:00,"due to vehicle breakdown , the slow lane of tsuen wan road kowloon bound near clague garden estate is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",vehicle breakdown,tsuen wan road,kowloon,new,clague garden estate,
7512,2020-10-27 08:57:00,"due to vehicle breakdown , the slow lane of fanling highway yuen long bound near kwu tung is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",vehicle breakdown,fanling highway,yuen long,new,kwu tung,
7513,2020-10-27 09:05:00,"due to traffic accident , the fast lane of lung cheung road tsuen wan bound near lion rock tunnel is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,lung cheung road,tsuen wan,new,lion rock tunnel,
7514,2020-10-27 09:22:00,the slow lane of ma tau wai road wuhu street bound near tai wan road which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,ma tau wai road,wuhu street,updated,tai wan road,
7515,2020-10-27 09:29:00,traffic at tolo highway near tai po and fanling highway kowloon bound have resumed normal. ,traffic accident happened earlier,tolo highway,kowloon,updated,,
7516,2020-10-27 09:35:00,the fast lane of lei yue mun road yau tong bound near lam tin ambulance depot which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,lei yue mun road,yau tong,updated,lam tin ambulance depot,
7517,2020-10-27 09:38:00,the fast lane of lung cheung road tsuen wan bound near lion rock tunnel which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,lung cheung road,tsuen wan,updated,lion rock tunnel,
7518,2020-10-27 09:47:00,the slow lane of fanling highway yuen long bound near kwu tung which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,fanling highway,yuen long,updated,kwu tung,
7519,2020-10-27 09:44:00,"due to vehicle breakdown , the middle lane of tuen mun road kowloon bound near tsing lung tau is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on tuen mun road kowloon bound ends at tuen mun road near tuen mun road bus-bus interchange.   traffic is congested now. ",vehicle breakdown,tuen mun road,kowloon,updated,tsing lung tau,
7520,2020-10-27 09:53:00,"due to traffic accident , part of the lanes of kam tin road both bounds near mtr shek kong depot are closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,kam tin road,,new,mtr shek kong depot,
7521,2020-10-27 10:25:00,part of the lanes of kam tin road both bounds near mtr shek kong depot which were closed due to traffic accident are re-opened to all traffic. ,traffic accident,kam tin road,,updated,mtr shek kong depot,
7522,2020-10-27 11:55:00,"due to traffic accident , part of the lanes of tseung kwan o road kowloon bay bound near kwun tong police station is closed to all traffic.  only remaining lane is still available to motorists.   traffic is busy now. ",traffic accident,tseung kwan o road,kowloon bay,new,kwun tong police station,
7523,2020-10-27 12:05:00,"due to road incident , the only lane of wai yip street flyover kowloon bay bound near kowloon bay sports centre is closed to all traffic. traffic is busy now. ",road incident,wai yip street flyover,kowloon bay,new,kowloon bay sports centre,
7524,2020-10-27 12:09:00,part of the lanes of tseung kwan o road kowloon bay bound near kwun tong police station which were closed due to traffic accident are re-opened to all traffic. ,traffic accident,tseung kwan o road,kowloon bay,updated,kwun tong police station,
7525,2020-10-27 12:13:00,"due to vehicle breakdown , the slow lane of waterloo road flyover sha tin bound near prince edward road west is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",vehicle breakdown,waterloo road,sha tin,new,prince edward road west,
7526,2020-10-27 12:17:00,"due to road incident , part of the lanes of wai yip street flyover kowloon bay bound near kowloon bay sports centre are still closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",road incident,wai yip street flyover,kowloon bay,updated,kowloon bay sports centre,
7527,2020-10-27 12:31:00,"due to vehicle breakdown , the slow lane of waterloo road flyover sha tin bound near prince edward road west is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on waterloo road sha tin bound ends at princess margaret road near pui ching road.   traffic is congested now. ",vehicle breakdown,waterloo road,sha tin,updated,prince edward road west,
7528,2020-10-27 12:34:00,"due to traffic accident , all lanes of tai tam road both bounds near red hill peninsula are closed to all traffic. traffic is busy now. ",traffic accident,tai tam road,,new,red hill peninsula,
7529,2020-10-27 12:34:00,"due to traffic accident , all lanes of tai tam road both bounds near red hill peninsula are closed to all traffic.  affected bus routes have been diverted.   traffic is busy now. ",traffic accident,tai tam road,,updated,red hill peninsula,
7530,2020-10-27 12:57:00,part of the lanes of wai yip street flyover kowloon bay bound near kowloon bay sports centre which were closed due to road incident are re-opened to all traffic. ,road incident,wai yip street flyover,kowloon bay,updated,kowloon bay sports centre,
7531,2020-10-27 12:59:00,"due to traffic accident , the slow lane of sha tsui road texaco road bound near chung on street is closed to all traffic.  only the fast lane is still available to motorists.   traffic is busy now. ",traffic accident,sha tsui road,texaco road,new,chung on street,
7532,2020-10-27 13:20:00,the slow lane of sha tsui road texaco road bound near chung on street which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,sha tsui road,texaco road,updated,chung on street,
7533,2020-10-27 13:18:00,"due to previous traffic accident, all lanes of tai tam road stanley bound are still closed to all traffic. the one-lane-two-way traffic arrangement is implemented on site. traffic is busy now. ",traffic accident,tai tam road,,updated,red hill peninsula,
